batch_size,sequence_length,dim_size,active_heads,active_ffn,avg_latency,std_latency
16,128,4096,11,9728,116.262060546875,0.04682046713303037
16,128,4096,11,10240,116.26599731445313,0.040421404859743534
16,128,4096,11,10752,116.23663177490235,0.03140521076544526
16,128,4096,12,256,116.31542739868163,0.07726533904498219
16,128,4096,12,512,116.24839935302734,0.049619939033175124
16,128,4096,12,1024,116.24258499145508,0.041412806167602505
16,128,4096,12,1536,116.24899749755859,0.05391809613653532
16,128,4096,12,2048,116.2667610168457,0.058529236011925063
16,128,4096,12,2560,116.45804443359376,0.07269720227961372
16,128,4096,12,3072,116.50997848510742,0.05633503183745467
16,128,4096,12,3584,116.43323974609375,0.049882491921199056
16,128,4096,12,4096,116.48583984375,0.040371107800199355
16,128,4096,12,4608,116.46437454223633,0.06050020284578835
16,128,4096,12,5120,116.45436782836914,0.03521168851925653
16,128,4096,12,5632,116.460400390625,0.05121301762894023
16,128,4096,12,6144,116.30988540649415,0.054121684669717514
16,128,4096,12,6656,116.48325653076172,0.0442145216159846
16,128,4096,12,7168,116.48176498413086,0.057552295087322104
16,128,4096,12,7680,116.50117797851563,0.03867140658894466
16,128,4096,12,8192,116.25091781616212,0.025143798677761724
16,128,4096,12,8704,116.47447280883789,0.041662859790121534
16,128,4096,12,9216,116.21781768798829,0.02126313482256133
16,128,4096,12,9728,116.27261047363281,0.0346290091087053
16,128,4096,12,10240,116.45945587158204,0.07780607743859834
16,128,4096,12,10752,116.21390151977539,0.040639320794395466
16,128,4096,13,256,116.29713897705078,0.025527029756090294
16,128,4096,13,512,116.46756439208984,0.024491975249506977
16,128,4096,13,1024,116.46441650390625,0.032703191012775176
16,128,4096,13,1536,116.65508193969727,0.03347240523902113
16,128,4096,13,2048,116.48530578613281,0.020813378976415844
16,128,4096,13,2560,116.58389816284179,0.03816344036184048
16,128,4096,13,3072,116.51818542480468,0.02481279006168096
16,128,4096,13,3584,116.50768585205078,0.04574496797064533
16,128,4096,13,4096,116.54063110351562,0.05799020438154795
16,128,4096,13,4608,116.54639129638672,0.03084057608043557
16,128,4096,13,5120,116.49983978271484,0.03989291368971364
16,128,4096,13,5632,116.46832046508788,0.042711030716471185
16,128,4096,13,6144,116.57403259277343,0.1331238127460869
16,128,4096,13,6656,116.5158821105957,0.03990056272142403
16,128,4096,13,7168,116.48465576171876,0.040562079635789006
16,128,4096,13,7680,116.52307815551758,0.044768559847166295
16,128,4096,13,8192,116.58092575073242,0.08010951359229905
16,128,4096,13,8704,116.5193473815918,0.04044795050703864
16,128,4096,13,9216,116.45694427490234,0.02277904562495535
16,128,4096,13,9728,116.5113624572754,0.043351180714822024
16,128,4096,13,10240,116.44224014282227,0.041909405435647244
16,128,4096,13,10752,116.56430740356446,0.03740761187711855
16,128,4096,14,256,116.49337158203124,0.061163288832482045
16,128,4096,14,512,116.50502166748046,0.029957506343609906
16,128,4096,14,1024,116.57888946533203,0.024968021352873015
16,128,4096,14,1536,116.62712020874024,0.04224341909745091
16,128,4096,14,2048,116.51602249145508,0.03720621198999999
16,128,4096,14,2560,116.52446746826172,0.03916018371866457
16,128,4096,14,3072,116.54275741577149,0.03201141645628886
16,128,4096,14,3584,116.5651138305664,0.04535254317935173
16,128,4096,14,4096,116.56851501464844,0.04469743372514889
16,128,4096,14,4608,116.52852630615234,0.03279802543829165
16,128,4096,14,5120,116.48184967041016,0.05344439912689437
16,128,4096,14,5632,116.52955856323243,0.042963819742474624
16,128,4096,14,6144,116.54703979492187,0.0481176379816866
16,128,4096,14,6656,116.52348709106445,0.040695270850063144
16,128,4096,14,7168,116.51911315917968,0.032449072574198067
16,128,4096,14,7680,116.56343383789063,0.04710645952206131
16,128,4096,14,8192,116.55455627441407,0.02859064002204477
16,128,4096,14,8704,116.53131637573242,0.043536725137115914
16,128,4096,14,9216,116.4874153137207,0.03162796789641912
16,128,4096,14,9728,116.55811309814453,0.1366009771201147
16,128,4096,14,10240,116.56363296508789,0.035572735490956894
16,128,4096,14,10752,116.52453079223633,0.06425502553743487
16,128,4096,15,256,116.49199295043945,0.01923306481867863
16,128,4096,15,512,116.52247009277343,0.04145949354796721
16,128,4096,15,1024,116.55893478393554,0.0585985858282669
16,128,4096,15,1536,116.5414207458496,0.06241392866559857
16,128,4096,15,2048,116.45260696411133,0.03482393662098525
16,128,4096,15,2560,116.48368301391602,0.052825706262195855
16,128,4096,15,3072,116.47741775512695,0.07122172974626978
16,128,4096,15,3584,116.52743072509766,0.054555300726142016
16,128,4096,15,4096,116.46366729736329,0.04542778167864015
16,128,4096,15,4608,116.47556991577149,0.048807509057678104
16,128,4096,15,5120,116.50455093383789,0.06352749388278471
16,128,4096,15,5632,116.47579803466797,0.05263667978026977
16,128,4096,15,6144,116.49427490234375,0.05287631040381955
16,128,4096,15,6656,116.47699508666992,0.038087706960325055
16,128,4096,15,7168,116.54628448486328,0.04499839844747016
16,128,4096,15,7680,116.46856307983398,0.04696982848212099
16,128,4096,15,8192,116.48312683105469,0.044058291614937975
16,128,4096,15,8704,116.48795089721679,0.039635165882822336
16,128,4096,15,9216,116.5021484375,0.0839797982920554
16,128,4096,15,9728,116.44821090698242,0.03674044130857518
16,128,4096,15,10240,116.50860977172852,0.04819457887543396
16,128,4096,15,10752,116.47972717285157,0.04129166397075431
16,128,4096,16,256,116.48604965209961,0.04131138654183722
16,128,4096,16,512,116.45611801147462,0.034196041664987215
16,128,4096,16,1024,116.51037063598633,0.0617109570730862
16,128,4096,16,1536,116.45478134155273,0.0362546656582812
16,128,4096,16,2048,116.51242218017578,0.11071763300439914
16,128,4096,16,2560,116.44822463989257,0.04171861691093156
16,128,4096,16,3072,116.4781593322754,0.07269064125929788
16,128,4096,16,3584,116.48671493530273,0.04535354603579756
16,128,4096,16,4096,116.52392959594727,0.04629233850810454
16,128,4096,16,4608,116.49264755249024,0.03863975400012676
16,128,4096,16,5120,116.4789192199707,0.04762652312901627
16,128,4096,16,5632,116.43330841064453,0.03283196472249732
16,128,4096,16,6144,116.54333038330078,0.04506991165211503
16,128,4096,16,6656,116.54033584594727,0.02867729818861891
16,128,4096,16,7168,116.51241607666016,0.0263049218759612
16,128,4096,16,7680,116.52739868164062,0.01967500319825471
16,128,4096,16,8192,116.49337310791016,0.04631949927523656
16,128,4096,16,8704,116.51255645751954,0.02062404194371363
16,128,4096,16,9216,116.4969985961914,0.02815408680288676
16,128,4096,16,9728,116.51716690063476,0.026999504642725377
16,128,4096,16,10240,116.50655899047851,0.04079410659905956
16,128,4096,16,10752,116.50548553466797,0.049184411872412404
16,128,4096,17,256,116.51179885864258,0.027004004621695585
16,128,4096,17,512,116.45057067871093,0.024134140501719324
16,128,4096,17,1024,116.53244476318359,0.04891111381041417
16,128,4096,17,1536,116.58174057006836,0.10905843730002865
16,128,4096,17,2048,116.51668701171874,0.02023359928245915
16,128,4096,17,2560,116.49148101806641,0.02048841910502237
16,128,4096,17,3072,116.50419769287109,0.04367082287897803
16,128,4096,17,3584,116.52366485595704,0.03320647703108109
16,128,4096,17,4096,116.49902801513672,0.02182162438026386
16,128,4096,17,4608,116.51179809570313,0.014192008991393465
16,128,4096,17,5120,116.51158752441407,0.019082557596289882
16,128,4096,17,5632,116.52668838500976,0.027132543632138045
16,128,4096,17,6144,116.49825897216797,0.02675774802248906
16,128,4096,17,6656,116.49830780029296,0.020773787175786592
16,128,4096,17,7168,116.48035125732422,0.023860058531435073
16,128,4096,17,7680,116.62578964233398,0.048384990254960826
16,128,4096,17,8192,116.5078971862793,0.02272381738580546
16,128,4096,17,8704,116.47501983642579,0.03313719462146666
16,128,4096,17,9216,116.44520416259766,0.01753308659022187
16,128,4096,17,9728,116.52223663330078,0.04313535809298942
16,128,4096,17,10240,116.50434799194336,0.015029732737036635
16,128,4096,17,10752,116.48250808715821,0.026020885521786465
16,128,4096,18,256,116.52597427368164,0.016844467881428155
16,128,4096,18,512,116.48277893066407,0.03789511182730761
16,128,4096,18,1024,116.51079025268555,0.04105577179369996
16,128,4096,18,1536,116.50222702026367,0.02079354422502733
16,128,4096,18,2048,116.51400833129883,0.018356034822806264
16,128,4096,18,2560,116.49811630249023,0.03648439092509404
16,128,4096,18,3072,116.52456970214844,0.0903237744501368
16,128,4096,18,3584,116.48130798339844,0.04324605754632497
16,128,4096,18,4096,116.45574417114258,0.018223853892832327
16,128,4096,18,4608,116.60462493896485,0.03867826044823552
16,128,4096,18,5120,116.46969909667969,0.03138356410150475
16,128,4096,18,5632,116.51545639038086,0.04510672872378895
16,128,4096,18,6144,116.54118423461914,0.02772554187451037
16,128,4096,18,6656,116.51283721923828,0.02626678397479839
16,128,4096,18,7168,116.41797103881837,0.03692911074876014
16,128,4096,18,7680,116.57631378173828,0.08025427162259452
16,128,4096,18,8192,116.49315185546875,0.03722857310988774
16,128,4096,18,8704,116.44384765625,0.0422574646382358
16,128,4096,18,9216,116.46455917358398,0.04173651321913357
16,128,4096,18,9728,116.49363632202149,0.03853645943050373
16,128,4096,18,10240,116.45591354370117,0.049678311085198365
16,128,4096,18,10752,116.51043853759765,0.03939983766346744
16,128,4096,19,256,116.45439071655274,0.05398094740005553
16,128,4096,19,512,116.25115585327148,0.04561757319798418
16,128,4096,19,1024,116.26112060546875,0.051756442947081885
16,128,4096,19,1536,116.5276008605957,0.05137650513290524
16,128,4096,19,2048,116.47766418457032,0.03136953336202527
16,128,4096,19,2560,116.51376876831054,0.04290274514629249
16,128,4096,19,3072,116.47442626953125,0.056730776190310486
16,128,4096,19,3584,116.52427673339844,0.05302796111002163
16,128,4096,19,4096,116.48092193603516,0.051239101393932986
16,128,4096,19,4608,116.46062545776367,0.0652714523513868
16,128,4096,19,5120,116.4520866394043,0.057989252141308636
16,128,4096,19,5632,116.44667892456054,0.023320112070283807
16,128,4096,19,6144,116.55680389404297,0.05378606561790625
16,128,4096,19,6656,116.49691467285156,0.0456890586099652
16,128,4096,19,7168,116.46233291625977,0.04131768501542195
16,128,4096,19,7680,116.50226440429688,0.031857386593591275
16,128,4096,19,8192,116.45148239135742,0.03770223169400094
16,128,4096,19,8704,116.46368942260742,0.041677685060111706
16,128,4096,19,9216,116.45057907104493,0.03818554127066913
16,128,4096,19,9728,116.49823379516602,0.04414761723805599
16,128,4096,19,10240,116.48111877441406,0.03945756095908886
